51791,387,188
51792,380,276
51792,380,400
51792,380,252
51792,380,462
51792,380,130
51792,380,56
51792,380,33
51792,380,17
51793,388,234
51793,388,430
51793,388,83
51793,388,114
51793,388,609
51793,388,624
51793,392,295
51793,392,306
51793,392,392
51793,392,240
51793,392,440
51793,392,220
51793,392,464
51793,392,449
51793,392,496
51793,392,516
51793,392,157
51793,392,69
51793,392,623
51793,392,631
51793,402,400
51793,402,234
51793,402,438
51793,402,299
51793,402,429
51793,402,246
51793,402,260
51793,402,484
51793,402,485
51793,402,505
51793,402,408
51793,402,109
51793,402,521
51793,402,634
51794,393,315
51794,393,317
51794,393,261
51794,393,250
51794,393,419
51794,393,422
51794,393,181
51794,393,201
51794,393,497
51794,393,488
51794,393,122
51794,393,558
51794,393,572
51794,393,541
51794,393,79
51794,393,589
51794,393,588
51794,393,29
51794,397,382
51794,397,267
51794,397,296
51794,397,333
51794,397,122
51794,397,513
51794,397,510
51794,397,512
51794,397,514
51795,389,332
51795,389,339
51795,389,274
51795,389,211
51795,389,479
51795,389,465
51795,389,196
51795,389,497
51795,389,178
51795,389,567
51795,389,66
51811,422,603
51811,381,271
51811,381,261
51811,381,326
51811,381,426
51811,381,411
51811,381,446
51811,381,449
51811,381,525
51811,381,97
51811,381,522
51811,381,548
51811,381,544
51811,381,598
51811,381,14
51811,381,625
51812,404,344
51812,404,319
51812,404,404
51812,404,165
51812,404,545
51812,404,525
51816,396,359
51816,396,424
51816,396,261
51816,396,297
51816,396,471
51816,396,139
51816,396,156
51816,396,553
51816,396,552
51816,396,454
51816,396,640
51816,396,22
51816,405,314
51816,405,263
51816,405,387
51816,405,194
51816,405,197
51816,405,174
51816,405,114
51816,405,570
51816,405,604
51816,405,52
51816,410,318
51816,410,352
51816,410,383
51816,410,391
51816,410,211
51816,410,212
51816,410,472
51816,410,450
51816,410,466
51816,410,524
51816,410,142
51816,410,562
51816,382,411
51816,382,478
51816,382,177
51816,382,420
51816,382,142
51816,382,58
51816,382,574
51816,382,64
51817,399,308
51817,399,360
51817,399,384
51817,399,375
51817,399,245
51817,399,142
51817,399,550
51817,399,573
51817,399,26
51817,399,604
51817,411,316
51817,411,398
51817,411,306
51818,383,268
51818,383,463
51818,383,495
51818,383,524
51818,383,592
51820,400,395
51820,400,390
51820,400,252
51820,400,484
51820,400,193
51820,400,525
51820,400,137
51820,400,160
51820,400,3
51820,400,632
51820,400,631
51820,400,32
51820,400,22
51820,429,256
51820,429,252
51820,429,226
51820,429,363
51820,429,200
51820,429,145
51820,429,215
51820,429,110
51820,429,575
51820,429,603
51820,429,612
51820,429,606
51820,407,304
51820,407,283
51820,407,285
51820,407,220
51820,407,269
51820,407,236
51820,407,409
51820,407,480
51820,407,483
51820,407,484
51820,407,50
51820,407,524
51820,407,511
51820,407,158
51820,407,544
